year,global_avg_temp,global_moving_avg_temp,City,Country,city_avg_temp,shanghai_moving_avg_temp
1750,8.72,,Shanghai,China,,
1751,7.98,,Shanghai,China,,
1752,5.78,,Shanghai,China,,
1753,8.39,,Shanghai,China,,
1754,8.47,7.868,Shanghai,China,,
1755,8.36,7.796,Shanghai,China,,
1756,8.85,7.97,Shanghai,China,,
1757,9.02,8.618,Shanghai,China,,
1758,6.74,8.288,Shanghai,China,,
1759,7.99,8.192,Shanghai,China,,
1760,7.19,7.958,Shanghai,China,,
1761,8.77,7.942,Shanghai,China,,
1762,8.61,7.86,Shanghai,China,,
1763,7.5,8.012,Shanghai,China,,
1764,8.4,8.094,Shanghai,China,,
1765,8.25,8.306,Shanghai,China,,
1766,8.41,8.234,Shanghai,China,,
1767,8.22,8.156,Shanghai,China,,
1768,6.78,8.012,Shanghai,China,,
1769,7.69,7.87,Shanghai,China,,
1770,7.69,7.758,Shanghai,China,,
1771,7.85,7.646,Shanghai,China,,
1772,8.19,7.64,Shanghai,China,,
1773,8.22,7.928,Shanghai,China,,
1774,8.77,8.144,Shanghai,China,,
1775,9.18,8.442,Shanghai,China,,
1776,8.3,8.532,Shanghai,China,,
1777,8.26,8.546,Shanghai,China,,
1778,8.54,8.61,Shanghai,China,,
1779,8.98,8.652,Shanghai,China,,
1780,9.43,8.702,Shanghai,China,,
1781,8.1,8.662,Shanghai,China,,
1782,7.9,8.59,Shanghai,China,,
1783,7.68,8.418,Shanghai,China,,
1784,7.86,8.194,Shanghai,China,,
1785,7.36,7.78,Shanghai,China,,
1786,8.26,7.812,Shanghai,China,,
1787,8.03,7.838,Shanghai,China,,
1788,8.45,7.992,Shanghai,China,,
1789,8.33,8.086,Shanghai,China,,
1790,7.98,8.21,Shanghai,China,,
1791,8.23,8.204,Shanghai,China,,
1792,8.09,8.216,Shanghai,China,,
1793,8.23,8.172,Shanghai,China,,
1794,8.53,8.212,Shanghai,China,,
1795,8.35,8.286,Shanghai,China,,
1796,8.27,8.294,Shanghai,China,,
1797,8.51,8.378,Shanghai,China,,
1798,8.67,8.466,Shanghai,China,,
1799,8.51,8.462,Shanghai,China,,
1800,8.48,8.488,Shanghai,China,,
1801,8.59,8.552,Shanghai,China,,
1802,8.58,8.566,Shanghai,China,,
1803,8.5,8.532,Shanghai,China,,
1804,8.84,8.598,Shanghai,China,,
1805,8.56,8.614,Shanghai,China,,
1806,8.43,8.582,Shanghai,China,,
1807,8.28,8.522,Shanghai,China,,
1808,7.63,8.348,Shanghai,China,,
1809,7.08,7.996,Shanghai,China,,
1810,6.92,7.668,Shanghai,China,,
1811,6.86,7.354,Shanghai,China,,
1812,7.05,7.108,Shanghai,China,,
1813,7.74,7.13,Shanghai,China,,
1814,7.59,7.232,Shanghai,China,,
1815,7.24,7.296,Shanghai,China,,
1816,6.94,7.312,Shanghai,China,,
1817,6.98,7.298,Shanghai,China,,
1818,7.83,7.316,Shanghai,China,,
1819,7.37,7.272,Shanghai,China,,
1820,7.62,7.348,Shanghai,China,,
1821,8.09,7.578,Shanghai,China,,
1822,8.19,7.82,Shanghai,China,,
1823,7.72,7.798,Shanghai,China,,
1824,8.55,8.034,Shanghai,China,,
1825,8.39,8.188,Shanghai,China,,
1826,8.36,8.242,Shanghai,China,,
1827,8.81,8.366,Shanghai,China,,
1828,8.17,8.456,Shanghai,China,,
1829,7.94,8.334,Shanghai,China,,
1830,8.52,8.36,Shanghai,China,,
1831,7.64,8.216,Shanghai,China,,
1832,7.45,7.944,Shanghai,China,,
1833,8.01,7.912,Shanghai,China,,
1834,8.15,7.954,Shanghai,China,,
1835,7.39,7.728,Shanghai,China,,
1836,7.7,7.74,Shanghai,China,,
1837,7.38,7.726,Shanghai,China,,
1838,7.51,7.626,Shanghai,China,,
1839,7.63,7.522,Shanghai,China,,
1840,7.8,7.604,Shanghai,China,,
1841,7.69,7.602,Shanghai,China,14.87,
1842,8.02,7.73,Shanghai,China,15.43,
1843,8.17,7.862,Shanghai,China,15.53,
1844,7.65,7.866,Shanghai,China,15.33,
1845,7.85,7.876,Shanghai,China,15.43,15.318
1846,8.55,8.048,Shanghai,China,15.85,15.514
1847,8.09,8.062,Shanghai,China,15.78,15.584
1848,7.98,8.024,Shanghai,China,15.02,15.482
1849,7.98,8.09,Shanghai,China,15.44,15.504
1850,7.9,8.1,Shanghai,China,15.6,15.538
1851,8.18,8.026,Shanghai,China,15.22,15.412
1852,8.1,8.028,Shanghai,China,15.44,15.344
1853,8.04,8.04,Shanghai,China,15.79,15.498
1854,8.21,8.086,Shanghai,China,15.99,15.608
1855,8.11,8.128,Shanghai,China,15.84,15.656
1856,8,8.092,Shanghai,China,15.55,15.722
1857,7.76,8.024,Shanghai,China,15.93,15.82
1858,8.1,8.036,Shanghai,China,15.49,15.76
1859,8.25,8.044,Shanghai,China,15.64,15.69
1860,7.96,8.014,Shanghai,China,15.05,15.532
1861,7.85,7.984,Shanghai,China,15.29,15.48
1862,7.56,7.944,Shanghai,China,14.47,15.188
1863,8.11,7.946,Shanghai,China,15.2,15.13
1864,7.98,7.892,Shanghai,China,14.85,14.972
1865,8.18,7.936,Shanghai,China,15.72,15.106
1866,8.29,8.024,Shanghai,China,15.54,15.156
1867,8.44,8.2,Shanghai,China,15.95,15.452
1868,8.25,8.228,Shanghai,China,15.86,15.584
1869,8.43,8.318,Shanghai,China,16.09,15.832
1870,8.2,8.322,Shanghai,China,15.95,15.878
1871,8.12,8.288,Shanghai,China,16.31,16.032
1872,8.19,8.238,Shanghai,China,16.12,16.066
1873,8.35,8.258,Shanghai,China,15.74,16.042
1874,8.43,8.258,Shanghai,China,15.68,15.96
1875,7.86,8.19,Shanghai,China,15.47,15.864
1876,8.08,8.182,Shanghai,China,15.6,15.722
1877,8.54,8.252,Shanghai,China,15.43,15.584
1878,8.83,8.348,Shanghai,China,15.46,15.528
1879,8.17,8.296,Shanghai,China,16.13,15.618
1880,8.12,8.348,Shanghai,China,15.28,15.58
1881,8.27,8.386,Shanghai,China,15.63,15.586
1882,8.13,8.304,Shanghai,China,15.54,15.608
1883,7.98,8.134,Shanghai,China,15.41,15.598
1884,7.77,8.054,Shanghai,China,14.92,15.356
1885,7.92,8.014,Shanghai,China,14.91,15.282
1886,7.95,7.95,Shanghai,China,15.06,15.168
1887,7.91,7.906,Shanghai,China,15.65,15.19
1888,8.09,7.928,Shanghai,China,15.87,15.282
1889,8.32,8.038,Shanghai,China,15.3,15.358
1890,7.97,8.048,Shanghai,China,16.22,15.62
1891,8.02,8.062,Shanghai,China,15.72,15.752
1892,8.07,8.094,Shanghai,China,15.43,15.708
1893,8.06,8.088,Shanghai,China,15.13,15.56
1894,8.16,8.056,Shanghai,China,16.23,15.746
1895,8.15,8.092,Shanghai,China,15.27,15.556
1896,8.21,8.13,Shanghai,China,15.73,15.558
1897,8.29,8.174,Shanghai,China,15.6,15.592
1898,8.18,8.198,Shanghai,China,16.33,15.832
1899,8.4,8.246,Shanghai,China,15.84,15.754
1900,8.5,8.316,Shanghai,China,15.8,15.86
1901,8.54,8.382,Shanghai,China,15.26,15.766
1902,8.3,8.384,Shanghai,China,16.27,15.9
1903,8.22,8.392,Shanghai,China,15.56,15.746
1904,8.09,8.33,Shanghai,China,15.64,15.706
1905,8.23,8.276,Shanghai,China,15.5,15.646
1906,8.38,8.244,Shanghai,China,15.5,15.694
1907,7.95,8.174,Shanghai,China,15.57,15.554
1908,8.19,8.168,Shanghai,China,15.67,15.576
1909,8.18,8.186,Shanghai,China,15.84,15.616
1910,8.22,8.184,Shanghai,China,15.26,15.568
1911,8.18,8.144,Shanghai,China,15.48,15.564
1912,8.17,8.188,Shanghai,China,15.61,15.572
1913,8.3,8.21,Shanghai,China,15.36,15.51
1914,8.59,8.292,Shanghai,China,16.52,15.646
1915,8.59,8.366,Shanghai,China,16.11,15.816
1916,8.23,8.376,Shanghai,China,15.75,15.87
1917,8.02,8.346,Shanghai,China,15.09,15.766
1918,8.13,8.312,Shanghai,China,15.55,15.804
1919,8.38,8.27,Shanghai,China,15.93,15.686
1920,8.36,8.224,Shanghai,China,16.02,15.668
1921,8.57,8.292,Shanghai,China,15.58,15.634
1922,8.41,8.37,Shanghai,China,16.11,15.838
1923,8.42,8.428,Shanghai,China,15.77,15.882
1924,8.51,8.454,Shanghai,China,15.72,15.84
1925,8.53,8.488,Shanghai,China,15.65,15.766
1926,8.73,8.52,Shanghai,China,16.04,15.858
1927,8.52,8.542,Shanghai,China,16.13,15.862
1928,8.63,8.584,Shanghai,China,16.03,15.914
1929,8.24,8.53,Shanghai,China,15.96,15.962
1930,8.63,8.55,Shanghai,China,16.06,16.044
1931,8.72,8.548,Shanghai,China,15.64,15.964
1932,8.71,8.586,Shanghai,China,16.04,15.946
1933,8.34,8.528,Shanghai,China,15.91,15.922
1934,8.63,8.606,Shanghai,China,15.85,15.9
1935,8.52,8.584,Shanghai,China,16.33,15.954
1936,8.55,8.55,Shanghai,China,15.28,15.882
1937,8.7,8.548,Shanghai,China,16.09,15.892
1938,8.86,8.652,Shanghai,China,16.32,15.974
1939,8.76,8.678,Shanghai,China,16.13,16.03
1940,8.76,8.726,Shanghai,China,16.25,16.014
1941,8.77,8.77,Shanghai,China,16.39,16.236
1942,8.73,8.776,Shanghai,China,16.21,16.26
1943,8.76,8.756,Shanghai,China,16.01,16.198
1944,8.85,8.774,Shanghai,China,16.14,16.2
1945,8.58,8.738,Shanghai,China,15.91,16.132
1946,8.68,8.72,Shanghai,China,16.7,16.194
1947,8.8,8.734,Shanghai,China,15.87,16.126
1948,8.75,8.732,Shanghai,China,16.49,16.222
1949,8.59,8.68,Shanghai,China,16.56,16.306
1950,8.37,8.638,Shanghai,China,16.4,16.404
1951,8.63,8.628,Shanghai,China,16.18,16.3
1952,8.64,8.596,Shanghai,China,16.1,16.346
1953,8.87,8.62,Shanghai,China,17.03,16.454
1954,8.56,8.614,Shanghai,China,15.85,16.312
1955,8.63,8.666,Shanghai,China,16.06,16.244
1956,8.28,8.596,Shanghai,China,15.61,16.13
1957,8.73,8.614,Shanghai,China,15.6,16.03
1958,8.77,8.594,Shanghai,China,16.07,15.838
1959,8.73,8.628,Shanghai,China,16.54,15.976
1960,8.58,8.618,Shanghai,China,16.6,16.084
1961,8.8,8.722,Shanghai,China,17.02,16.366
1962,8.75,8.726,Shanghai,China,16.11,16.468
1963,8.86,8.744,Shanghai,China,16.2,16.494
1964,8.41,8.68,Shanghai,China,16.58,16.502
1965,8.53,8.67,Shanghai,China,16.06,16.394
1966,8.6,8.63,Shanghai,China,16.5,16.29
1967,8.7,8.62,Shanghai,China,16.05,16.278
1968,8.52,8.552,Shanghai,China,16.13,16.264
1969,8.6,8.59,Shanghai,China,15.64,16.076
1970,8.7,8.624,Shanghai,China,15.82,16.028
1971,8.6,8.624,Shanghai,China,16.22,15.972
1972,8.5,8.584,Shanghai,China,15.71,15.904
1973,8.95,8.67,Shanghai,China,16.32,15.942
1974,8.47,8.644,Shanghai,China,15.93,16
1975,8.74,8.652,Shanghai,China,16.48,16.132
1976,8.35,8.602,Shanghai,China,15.71,16.03
1977,8.85,8.672,Shanghai,China,16.17,16.122
1978,8.69,8.62,Shanghai,China,16.67,16.192
1979,8.73,8.672,Shanghai,China,16.54,16.314
1980,8.98,8.72,Shanghai,China,15.57,16.132
1981,9.17,8.884,Shanghai,China,15.91,16.172
1982,8.64,8.842,Shanghai,China,16.2,16.178
1983,9.03,8.91,Shanghai,China,16.22,16.088
1984,8.69,8.902,Shanghai,China,15.8,15.94
1985,8.66,8.838,Shanghai,China,16.04,16.034
1986,8.83,8.77,Shanghai,China,15.94,16.04
1987,8.99,8.84,Shanghai,China,16.19,16.038
1988,9.2,8.874,Shanghai,China,16.17,16.028
1989,8.92,8.92,Shanghai,China,16.24,16.116
1990,9.23,9.034,Shanghai,China,17.26,16.36
1991,9.18,9.104,Shanghai,China,16.14,16.4
1992,8.84,9.074,Shanghai,China,16.14,16.39
1993,8.87,9.008,Shanghai,China,15.98,16.352
1994,9.04,9.032,Shanghai,China,17.34,16.572
1995,9.35,9.056,Shanghai,China,16.36,16.392
1996,9.04,9.028,Shanghai,China,16.21,16.406
1997,9.2,9.1,Shanghai,China,16.76,16.53
1998,9.52,9.23,Shanghai,China,17.56,16.846
1999,9.29,9.28,Shanghai,China,16.68,16.714
2000,9.2,9.25,Shanghai,China,16.9,16.822
2001,9.41,9.324,Shanghai,China,16.93,16.966
2002,9.57,9.398,Shanghai,China,17.22,17.058
2003,9.53,9.4,Shanghai,China,16.74,16.894
2004,9.32,9.406,Shanghai,China,17.24,17.006
2005,9.7,9.506,Shanghai,China,16.75,16.976
2006,9.53,9.53,Shanghai,China,17.41,17.072
2007,9.73,9.562,Shanghai,China,17.63,17.154
2008,9.43,9.542,Shanghai,China,16.72,17.15
2009,9.51,9.58,Shanghai,China,17.01,17.104
2010,9.7,9.58,Shanghai,China,16.75,17.104
2011,9.52,9.578,Shanghai,China,16.52,16.926
2012,9.51,9.534,Shanghai,China,16.47,16.694
2013,9.61,9.57,Shanghai,China,17.86,16.922
2014,9.57,9.582,,,,
2015,9.83,9.608,,,,